Core,X,Y,Tiefe mm,Y,Moving average 5 mm
KLOP17-01,133.8,41.593,44.7,41.593,37.97316667
KLOP17-01,134.1,46.077,45,46.077,35.32372222
KLOP17-01,134.4,47.953,45.3,47.953,33.34
KLOP17-01,134.7,46.682,45.6,46.682,32.10227778
KLOP17-01,135,41.439,45.9,41.439,31.61683333
KLOP17-01,135.3,33.948,46.2,33.948,31.704
KLOP17-01,135.6,26.332,46.5,26.332,32.07027778
KLOP17-01,135.9,21.065,46.8,21.065,32.31888889
KLOP17-01,136.2,18.59,47.1,18.59,32.11477778
KLOP17-01,136.5,18.58,47.4,18.58,31.28172222
KLOP17-01,136.8,20.741,47.7,20.741,29.84461111
KLOP17-01,137.1,23.422,48,23.422,28.01911111
KLOP17-01,137.4,27.359,48.3,27.359,26.20977778
KLOP17-01,137.7,30.71,48.6,30.71,24.94994444
KLOP17-01,138,33.006,48.9,33.006,24.54516667
KLOP17-01,138.3,34.674,49.2,34.674,24.97633333
KLOP17-01,138.6,34.3,49.5,34.3,25.9625
KLOP17-01,138.9,31.595,49.8,31.595,27.29672222
KLOP17-01,139.2,26.598,50.1,26.598,28.929
KLOP17-01,139.5,20.209,50.4,20.209,30.72188889
KLOP17-01,139.8,15.094,50.7,15.094,32.40677778
KLOP17-01,140.1,14.114,51,14.114,33.5125
KLOP17-01,140.4,18.762,51.3,18.762,33.88377778
KLOP17-01,140.7,26.662,51.6,26.662,33.648
KLOP17-01,141,34.093,51.9,34.093,32.95594444
KLOP17-01,141.3,38.816,52.2,38.816,31.98972222
KLOP17-01,141.6,42.606,52.5,42.606,30.95605556
KLOP17-01,141.9,47.961,52.8,47.961,30.09316667
KLOP17-01,142.2,53.013,53.1,53.013,29.69605556
KLOP17-01,142.5,53.75,53.4,53.75,29.93788889
KLOP17-01,142.8,47.262,53.7,47.262,30.74444444
KLOP17-01,143.1,37.393,54,37.393,31.85794444
KLOP17-01,143.4,28.762,54.3,28.762,32.94077778
KLOP17-01,143.7,22.217,54.6,22.217,33.79288889
KLOP17-01,144,16.908,54.9,16.908,34.29672222
KLOP17-01,144.3,12.989,55.2,12.989,34.23005556
KLOP17-01,144.6,11.066,55.5,11.066,33.33911111
KLOP17-01,144.9,13.061,55.8,13.061,31.531
KLOP17-01,145.2,19.447,56.1,19.447,29.09383333
KLOP17-01,145.5,28.632,56.4,28.632,26.70738889
KLOP17-01,145.8,38.805,56.7,38.805,24.96094444
KLOP17-01,146.1,46.153,57,46.153,23.99383333
KLOP17-01,146.4,49.431,57.3,49.431,23.77777778
KLOP17-01,146.7,47.885,57.6,47.885,24.21483333
KLOP17-01,147,41.406,57.9,41.406,25.20511111
KLOP17-01,147.3,31.924,58.2,31.924,26.52044444
KLOP17-01,147.6,20.467,58.5,20.467,27.79416667
KLOP17-01,147.9,9.881,58.8,9.881,28.54338889
KLOP17-01,148.2,4.306,59.1,4.306,28.40988889
KLOP17-01,148.5,5.957,59.4,5.957,27.29833333
KLOP17-01,148.8,11.354,59.7,11.354,25.37161111
KLOP17-01,149.1,18.328,60,18.328,22.85233333
KLOP17-01,149.4,24.775,60.3,24.775,19.93533333
KLOP17-01,149.7,30.814,60.6,30.814,16.99288889
KLOP17-01,150,34.742,60.9,34.742,14.56255556
KLOP17-01,150.3,35.988,61.2,35.988,13.19727778
KLOP17-01,150.6,32.933,61.5,32.933,13.13305556
KLOP17-01,150.9,26.229,61.8,26.229,14.10361111
KLOP17-01,151.2,18.797,62.1,18.797,15.50555556
KLOP17-01,151.5,11.472,62.4,11.472,16.90266667
KLOP17-01,151.8,4.084,62.7,4.084,18.08655556
KLOP17-01,152.1,-4.621,63,-4.621,19.03061111
KLOP17-01,152.4,-11.558,63.3,-11.558,19.62916667
KLOP17-01,152.7,-11.822,63.6,-11.822,19.64861111
KLOP17-01,153,-4.108,63.9,-4.108,18.99261111
KLOP17-01,153.3,8.725,64.2,8.725,17.86988889
KLOP17-01,153.6,21.776,64.5,21.776,16.53266667
KLOP17-01,153.9,31.192,64.8,31.192,15.32666667
KLOP17-01,154.2,36.502,65.1,36.502,14.73783333
KLOP17-01,154.5,39.638,65.4,39.638,15.08161111
KLOP17-01,154.8,41.768,65.7,41.768,16.45166667
KLOP17-01,155.1,41.588,66,41.588,18.57038889
KLOP17-01,155.4,35.092,66.3,35.092,20.7635
KLOP17-01,155.7,24.18,66.6,24.18,22.34711111
KLOP17-01,156,12.724,66.9,12.724,22.97733333
KLOP17-01,156.3,2.159,67.2,2.159,22.75855556
KLOP17-01,156.6,-2.911,67.5,-2.911,22.10794444
KLOP17-01,156.9,0.873,67.8,0.873,21.32355556
KLOP17-01,157.2,10.272,68.1,10.272,20.56305556
KLOP17-01,157.5,20.04,68.4,20.04,19.68527778
KLOP17-01,157.8,26.579,68.7,26.579,18.53883333
KLOP17-01,158.1,27.654,69,27.654,17.24555556
KLOP17-01,158.4,24.397,69.3,24.397,16.08561111
KLOP17-01,158.7,20.069,69.6,20.069,15.28772222
KLOP17-01,159,17.838,69.9,17.838,14.94694444
KLOP17-01,159.3,19.481,70.2,19.481,14.85544444
KLOP17-01,159.6,22.383,70.5,22.383,14.63522222
KLOP17-01,159.9,25.949,70.8,25.949,14.12394444
KLOP17-01,160.2,25.968,71.1,25.968,13.40561111
KLOP17-01,160.5,20.952,71.4,20.952,12.63916667
KLOP17-01,160.8,11.813,71.7,11.813,12.07166667
KLOP17-01,161.1,3.301,72,3.301,12.06816667
KLOP17-01,161.4,-1.638,72.3,-1.638,12.75916667
KLOP17-01,161.7,-3.975,72.6,-3.975,13.94566667
KLOP17-01,162,-4.558,72.9,-4.558,15.26466667
KLOP17-01,162.3,-3.091,73.2,-3.091,16.49427778
KLOP17-01,162.6,1.069,73.5,1.069,17.46572222
KLOP17-01,162.9,7.11,73.8,7.11,18.37755556
KLOP17-01,163.2,12.783,74.1,12.783,19.54616667
KLOP17-01,163.5,17.439,74.4,17.439,21.16577778
KLOP17-01,163.8,24.334,74.7,24.334,23.13738889
KLOP17-01,164.1,32.507,75,32.507,25.34761111
KLOP17-01,164.4,39.195,75.3,39.195,27.65761111
KLOP17-01,164.7,43.223,75.6,43.223,29.85588889
KLOP17-01,165,44.516,75.9,44.516,31.85711111
KLOP17-01,165.3,43.435,76.2,43.435,33.63216667
KLOP17-01,165.6,42.381,76.5,42.381,35.06544444
KLOP17-01,165.9,41.987,76.8,41.987,36.07322222
KLOP17-01,166.2,40.966,77.1,40.966,36.62983333
KLOP17-01,166.5,38.79,77.4,38.79,36.61033333
KLOP17-01,166.8,38.146,77.7,38.146,36.05094444
KLOP17-01,167.1,37.605,78,37.605,35.12988889
KLOP17-01,167.4,35.011,78.3,35.011,34.06505556
KLOP17-01,167.7,32.931,78.6,32.931,33.04477778
KLOP17-01,168,33.02,78.9,33.02,32.31161111
KLOP17-01,168.3,32.909,79.2,32.909,31.88161111
KLOP17-01,168.6,30.923,79.5,30.923,31.63622222
KLOP17-01,168.9,27.458,79.8,27.458,31.45872222
KLOP17-01,169.2,23.983,80.1,23.983,31.22122222
KLOP17-01,169.5,22.438,80.4,22.438,30.6965
KLOP17-01,169.8,22.616,80.7,22.616,30.03455556
KLOP17-01,170.1,24.056,81,24.056,29.62483333
KLOP17-01,170.4,26.151,81.3,26.151,29.61416667
KLOP17-01,170.7,30.238,81.6,30.238,29.85905556
KLOP17-01,171,34.641,81.9,34.641,30.235
KLOP17-01,171.3,37.57,82.2,37.57,30.65138889
KLOP17-01,171.6,37.771,82.5,37.771,31.15083333
KLOP17-01,171.9,34.515,82.8,34.515,31.76627778
KLOP17-01,172.2,28.701,83.1,28.701,32.31244444
KLOP17-01,172.5,25.69,83.4,25.69,32.54566667
KLOP17-01,172.8,27.636,83.7,27.636,32.24394444
KLOP17-01,173.1,32.739,84,32.739,31.3825
KLOP17-01,173.4,37.428,84.3,37.428,30.08138889
KLOP17-01,173.7,39.676,84.6,39.676,28.58161111
KLOP17-01,174,38.418,84.9,38.418,27.013
KLOP17-01,174.3,36.448,85.2,36.448,25.30305556
KLOP17-01,174.6,35.061,85.5,35.061,23.65977778
KLOP17-01,174.9,32.269,85.8,32.269,22.53066667
KLOP17-01,175.2,26.814,86.1,26.814,21.92911111
KLOP17-01,175.5,18.625,86.4,18.625,21.70877778
KLOP17-01,175.8,10.645,86.7,10.645,21.73822222
KLOP17-01,176.1,6.818,87,6.818,22.0525
KLOP17-01,176.4,7.645,87.3,7.645,22.69072222
KLOP17-01,176.7,9.335,87.6,9.335,23.63688889
KLOP17-01,177,6.992,87.9,6.992,24.80205556
KLOP17-01,177.3,4.936,88.2,4.936,26.20055556
KLOP17-01,177.6,8.377,88.5,8.377,27.779
KLOP17-01,177.9,14.862,88.8,14.862,29.27644444
KLOP17-01,178.2,23.67,89.1,23.67,30.62555556
KLOP17-01,178.5,33.269,89.4,33.269,32.03394444
KLOP17-01,178.8,43.085,89.7,43.085,33.67616667
KLOP17-01,179.1,51.164,90,51.164,35.49983333
KLOP17-01,179.4,55.449,90.3,55.449,37.25433333
KLOP17-01,179.7,57.421,90.6,57.421,38.7535
KLOP17-01,180,60.234,90.9,60.234,39.71861111
KLOP17-01,180.3,60.681,91.2,60.681,39.784
KLOP17-01,180.6,53.768,91.5,53.768,38.93438889
KLOP17-01,180.9,42.909,91.8,42.909,37.33411111
KLOP17-01,181.2,35.996,92.1,35.996,35.21227778
KLOP17-01,181.5,36.378,92.4,36.378,32.6615
KLOP17-01,181.8,40.471,92.7,40.471,29.71411111
KLOP17-01,182.1,40.916,93,40.916,26.57994444
KLOP17-01,182.4,33.977,93.3,33.977,23.52633333
KLOP17-01,182.7,22.308,93.6,22.308,20.69333333
KLOP17-01,183,9.554,93.9,9.554,18.21322222
KLOP17-01,183.3,-0.431,94.2,-0.431,16.33083333
KLOP17-01,183.6,-5.135,94.5,-5.135,15.24616667
KLOP17-01,183.9,-4.924,94.8,-4.924,14.82361111
KLOP17-01,184.2,-2.829,95.1,-2.829,14.65027778
KLOP17-01,184.5,-1.889,95.4,-1.889,14.45233333
KLOP17-01,184.8,-0.966,95.7,-0.966,14.27777778
KLOP17-01,185.1,2.456,96,2.456,14.41416667
KLOP17-01,185.4,9.24,96.3,9.24,15.09316667
KLOP17-01,185.7,16.039,96.6,16.039,16.43583333
KLOP17-01,186,19.885,96.9,19.885,18.34438889
KLOP17-01,186.3,23.385,97.2,23.385,20.62961111
KLOP17-01,186.6,28.39,97.5,28.39,23.09383333
KLOP17-01,186.9,33.258,97.8,33.258,25.72261111
KLOP17-01,187.2,36.908,98.1,36.908,28.57588889
KLOP17-01,187.5,37.774,98.4,37.774,31.58388889
KLOP17-01,187.8,36.432,98.7,36.432,34.49322222
KLOP17-01,188.1,34.53,99,34.53,36.99488889
KLOP17-01,188.4,33.722,99.3,33.722,39.03183333
KLOP17-01,188.7,33.923,99.6,33.923,40.77394444
KLOP17-01,189,35.999,99.9,35.999,42.29522222
KLOP17-01,189.3,39.432,100.2,39.432,43.55727778
KLOP17-01,189.6,44.489,100.5,44.489,44.60461111
KLOP17-01,189.9,49.47,100.8,49.47,45.44172222
KLOP17-01,190.2,53.178,101.1,53.178,46.16277778
KLOP17-01,190.5,54.824,101.4,54.824,46.92038889
KLOP17-01,190.8,54.27,101.7,54.27,47.89394444
KLOP17-01,191.1,52.704,102,52.704,49.1625
KLOP17-01,191.4,51.243,102.3,51.243,50.64261111
KLOP17-01,191.7,50.768,102.6,50.768,52.08544444
KLOP17-01,192,51.107,102.9,51.107,53.27283333
KLOP17-01,192.3,52.11,103.2,52.11,53.97288889
KLOP17-01,192.6,51.976,103.5,51.976,54.13561111
KLOP17-01,192.9,50.753,103.8,50.753,53.79172222
KLOP17-01,193.2,50.069,104.1,50.069,53.00561111
KLOP17-01,193.5,52.054,104.4,52.054,51.91594444
KLOP17-01,193.8,56.556,104.7,56.556,50.61527778
KLOP17-01,194.1,60.565,105,60.565,49.19183333
KLOP17-01,194.4,61.97,105.3,61.97,47.8185
